ID,Email,Address,Avatar,Gender,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
1,mstephenson@fernandez.com,"835 Frank Tunnel
Wrightmouth, MI 82180-9605",Violet,Female,34.497,12.656,39.578,4.083,587.951
2,hduke@hotmail.com,"4547 Archer Common
Diazchester, CA 06566-8576",DarkGreen,Male,31.926,11.109,37.269,2.664,392.205
3,pallen@yahoo.com,"24645 Valerie Unions Suite 582
Cobbborough, DC 99414-7564",Bisque,Female,33.001,11.33,37.111,4.105,487.548
4,riverarebecca@gmail.com,"1414 David Throughway
Port Jason, OH 22070-1220",SaddleBrown,Male,34.306,13.718,36.721,3.12,581.852
5,mstephens@davidson-herman.com,"14023 Rodriguez Passage
Port Jacobville, PR 37242-1057",MediumAquaMarine,Male,33.331,12.795,37.537,4.446,599.406
6,alvareznancy@lucas.biz,"645 Martha Park Apt. 611
Jeffreychester, MN 67218-7250",FloralWhite,Female,33.871,12.027,34.477,5.494,637.102
7,katherine20@yahoo.com,"68388 Reyes Lights Suite 692
Josephbury, WV 92213-0247",DarkSlateBlue,Female,32.022,11.366,36.684,4.685,521.572
8,awatkins@yahoo.com,"Unit 6538 Box 8980
DPO AP 09026-4941",Aqua,Female,32.739,12.352,37.373,4.434,549.904
9,vchurch@walter-martinez.com,"860 Lee Key
West Debra, SD 97450-0495",Salmon,Male,33.988,13.386,37.534,3.273,570.2
10,bonnie69@lin.biz,"PSC 2734, Box 5255
APO AA 98456-7482",Brown,Male,31.937,11.814,37.145,3.203,427.199
11,andrew06@peterson.com,"26104 Alexander Groves
Alexandriaport, WY 28244-9149",Tomato,Male,33.993,13.339,37.226,2.483,492.606
12,ryanwerner@freeman.biz,"Unit 2413 Box 0347
DPO AA 07580-2652",Tomato,Male,33.879,11.585,37.088,3.713,522.337
13,knelson@gmail.com,"6705 Miller Orchard Suite 186
Lake Shanestad, MO 75696-5051",RoyalBlue,Male,29.532,10.961,37.42,4.046,408.64
14,wrightpeter@yahoo.com,"05302 Dunlap Ferry
New Stephaniehaven, MP 42268",Bisque,Male,33.19,12.959,36.145,3.919,573.416
15,taylormason@gmail.com,"7773 Powell Springs Suite 190
Samanthaland, ND 44358",DarkBlue,Male,32.388,13.149,36.62,2.495,470.453
16,jstark@anderson.com,"49558 Ramirez Road Suite 399
Phillipstad, OH 35641-3238",Peru,Male,30.738,12.637,36.214,3.358,461.781
17,wjennings@gmail.com,"6362 Wilson Mountain
Johnsonfurt, GA 15169",PowderBlue,Male,32.125,11.734,34.894,3.136,457.848
